Country Name,Country Code,Indicator Name,Indicator Code,2017
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1.06264E+12
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,5.49654E+11
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,87174682200
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,6.50416E+12
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,2.92368E+13
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2639386291
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,2.04529E+13
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,47168303744
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,62404461275
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,30264454642
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,50361201096
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1.09139E+11
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,8128493432
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,11499803807
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,4597083304
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,3.26575E+12
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1.14992E+12
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,199399247.1
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,2.86827E+13
"Macedonia, FYR",MKD,GDP (current US$),NY.GDP.MKTP.CD,11337827332
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,15288163367
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,12537750732
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,69322122756
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1.43175E+12
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4774086094
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,11488046881
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,12333859926
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,5024705934
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,13338147523
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,6303277591
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,3.145E+11
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,2.105E+13
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,13244597345
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,8119732793
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,3.75771E+11
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,13814261536
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,8.262E+11
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,3.98832E+11
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,24472013234
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,113884908.4
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,2.05853E+11
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,4.96264E+13
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,72642652796
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,4.02189E+11
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,3.04952E+11
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,61838175800
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,2.11389E+11
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,3.13595E+11
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,291544300
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,21088758485
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,5.2451E+11
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1.29707E+12
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2.17571E+11
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,29734895249
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,14498100000
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,9687357499
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,4.7087E+13
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1.67605E+11
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,2.11803E+11
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1.57752E+12
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,9136689514
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,3.29174E+12
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,6.83827E+11
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1.17488E+11
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,16374743753
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,3.23907E+11
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1303453616
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,3774270392
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,24805439600
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1658778454
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,7368560695
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,41431648801
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1.64723E+12
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1.64871E+12
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,4.81208E+11
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,390871568.6
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,3324385325
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,95769031980
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,48769655479
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,5.3804E+11
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4408564260
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1485994387
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,9981303726
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1.4714E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,3.87986E+12
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,4812554346
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,4.55221E+11
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,7145701019
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,42355428571
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,5.70471E+12
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2954621000
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1.41701E+12
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,426057453.1
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,3.29174E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1.64871E+12
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,22104775828
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,40256675209
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,8.51102E+11
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,39731317.3
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,52090320325
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,25891058946
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1.12154E+11
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,2.21684E+13
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,56156972158
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1.93906E+13
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,48717685984
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,789629629.6
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,2.23864E+11
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,862879789.4
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,8.06838E+13
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,856626506
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,7128690557
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,3.49419E+11
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,25808666422
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,17845821400
